",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"123,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
"124,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"125,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"126,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"127,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"128,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"129,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"130,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"131,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"132,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"133,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"134,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"135,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"136,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"137,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"138,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"139,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"140,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"141,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"142,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"143,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"144,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
